component_identifier,component_type,component_index,primary_fidelity,prediction_agreement_count,prediction_disagreement_count,ground_truth_accuracy_change,cross_entropy_change,mean_kl_divergence,mean_jensen_shannon_divergence,maximum_absolute_logit_change,total_delta_fourier_power,addition_manifold_delta_power,addition_manifold_delta_fraction,correct_shift_rank,correct_shift_selectivity,dominant_canonical_frequency_pair,activation_diagonal_power_fraction,activation_near_constant,retained_at_threshold_0_99,retained_at_threshold_0_975,retained_at_threshold_0_95,retained_at_threshold_0_9,retained_at_threshold_0_85,retained_at_threshold_0_8
N11,mlp_neuron,15,1.0,12769,0,0.0,3.1652100944230474e-06,1.6152839386195367e-05,4.141165401604755e-06,3.809173583984375,253949.74328743026,6889.363987992862,0.027128848010668043,1,68.9913307770649,56,0.1085731827671975,False,False,False,False,False,False,False
N12,mlp_neuron,16,1.0,12769,0,0.0,1.4629483137896821e-05,1.8687597064744433e-05,4.7238767447123235e-06,3.941619873046875,316603.61930989753,8804.510240822232,0.0278092532865337,1,69.31991791294055,56,0.11072745062796477,False,True,True,True,True,True,False
N13,mlp_neuron,17,1.0,12769,0,0.0,0.00010150088549275575,4.843661819398599e-05,1.4822334851413253e-05,4.487571716308594,565481.7010338573,18381.097742260274,0.03250520345513309,1,87.9443690827902,3,0.11225579812980725,False,False,False,False,False,False,False
N14,mlp_neuron,18,1.0,12769,0,0.0,-2.0747988811211076e-06,5.529061115925248e-06,1.4545860453438237e-06,1.0914039611816406,14013.850321493655,122.9191259400544,0.008771260083428175,1,34.86370879811467,20,0.05476342599289264,False,False,False,False,False,False,False
N15,mlp_neuron,19,1.0,12769,0,0.0,0.00024359829667777396,0.00017768376528307312,5.231030835218418e-05,5.6093597412109375,1156574.2735274655,36222.762772882284,0.03131901132679145,1,71.67644936800356,1,0.1163537985662691,False,False,False,False,False,False,False
N16,mlp_neuron,20,1.0,12769,0,0.0,2.329951674538873e-05,5.050692283870528e-06,1.2760688944356453e-06,1.7192726135253906,37513.24743817855,436.30555065126623,0.011630705962481476,1,31.492418919566497,1,0.07835638442934084,False,False,False,False,False,False,False
N17,mlp_neuron,21,1.0,12769,0,0.0,2.629873989866741e-05,2.0879222230035645e-06,5.303016107684639e-07,0.7843742370605469,9459.289666078144,132.43077876530108,0.01400007647933752,1,48.30957551531598,56,0.07725126654163386,False,False,False,False,False,False,False
N18,mlp_neuron,22,1.0,12769,0,0.0,2.310783930888679e-06,1.5109066015407771e-05,3.830598619567698e-06,3.3067169189453125,353315.2410272173,11325.076215572219,0.03205374379731273,1,87.29653802974613,17,0.10915190495064601,False,False,False,False,False,False,False
N19,mlp_neuron,23,0.9999216853316626,12768,1,7.831466833740919e-05,0.000537535351244306,0.0003448643294080483,9.937453582249225e-05,11.425443649291992,1726867.0830514054,47011.72312851589,0.02722370678665397,1,66.44830255468291,48,0.10965067514987578,False,False,False,False,False,False,False
N20,mlp_neuron,24,1.0,12769,0,0.0,-2.563735756816476e-05,1.6752389749293197e-06,4.162344295206566e-07,0.8398933410644531,7381.845972828425,33.26729056355258,0.004506635696004084,1,29.26770129802787,17,0.036971103587786595,False,False,False,False,False,False,False
N21,mlp_neuron,25,1.0,12769,0,0.0,-2.1827402119382368e-05,1.0982618090503195e-05,2.7258393467291865e-06,1.4124603271484375,26731.22225272981,500.19810690316075,0.01871213003932434,1,50.69441429306038,20,0.08520125117378202,False,False,False,False,False,False,False
N22,mlp_neuron,26,1.0,12769,0,0.0,6.964931256222737e-05,0.00015260325921246677,4.294228337567169e-05,14.394515991210938,4256727.258846474,149474.9177630119,0.03511498592078412,1,84.50502396677186,56,0.121010004826992,False,False,False,False,False,False,False
N23,mlp_neuron,27,1.0,12769,0,0.0,3.3955403257134075e-05,7.816627851069267e-06,1.956525303625026e-06,1.9900360107421875,51051.929470286974,392.7113941084522,0.007692390829949267,1,48.2943476642409,3,0.040859294183914596,False,False,False,False,False,False,False
N24,mlp_neuron,28,1.0,12769,0,0.0,-3.3942954914050957e-06,1.557901920849403e-06,3.8895671493191587e-07,1.1075859069824219,9622.0610787001,44.42747939366506,0.004617251858025726,1,24.169360202915367,56,0.03871543084615665,False,False,False,False,False,False,False
N25,mlp_neuron,29,1.0,12769,0,0.0,0.00012618076464839954,3.1387937086339396e-05,7.480248640644253e-06,4.082752227783203,241711.31619912462,4006.247692962751,0.016574514408180863,1,48.83631188548869,56,0.09000480605514319,False,False,False,False,False,False,False
N26,mlp_neuron,30,1.0,12769,0,0.0,9.283932294792486e-06,1.213199410044927e-06,3.0769972156975764e-07,0.7617988586425781,3255.829674860918,1.8466668497252479,0.0005671877936317825,1,5.962904603819426,45,0.01577338201574921,False,True,False,False,False,False,False
N27,mlp_neuron,31,1.0,12769,0,0.0,-5.568410701182677e-05,4.224269131589021e-06,1.081157986610546e-06,1.1237926483154297,16711.74519494572,83.54030806001111,0.0049988979059635815,1,36.21643639874067,20,0.03151994902140433,False,False,False,False,False,False,False
N28,mlp_neuron,32,1.0,12769,0,0.0,3.774212109377141e-05,1.8199143902721248e-05,4.517684747193857e-06,1.7229461669921875,34521.900629866184,610.9382804545078,0.017697121806959905,1,62.42766760163793,20,0.07256467178745817,False,False,False,False,False,False,False
N29,mlp_neuron,33,1.0,12769,0,0.0,-1.1308683195875328e-05,4.1465624009021986e-07,1.0483543227541711e-07,0.5647430419921875,2135.65307836449,1.8417442575726841,0.0008623798856802694,1,9.428257061273497,17,0.017517683779028903,False,False,False,False,False,False,False
N30,mlp_neuron,34,1.0,12769,0,0.0,0.00030986037359867426,0.00021935374754960296,6.536230988743322e-05,8.992088317871094,1965644.3109077904,71370.79334688067,0.0363091089017624,1,87.2555606670374,17,0.12694424931212867,False,False,False,False,False,False,False
N31,mlp_neuron,35,1.0,12769,0,0.0,3.334068003154559e-06,2.7002963557273894e-06,6.799611834163975e-07,1.3280563354492188,17040.02863346748,102.35336169136328,0.006006642588049183,1,28.48771247091702,48,0.044994813749148384,False,False,False,False,False,False,False
N32,mlp_neuron,36,1.0,12769,0,0.0,7.013740137090468e-05,2.0120439781003766e-05,5.2337762869288906e-06,2.4741249084472656,51817.64690600973,240.19594270058903,0.004635408148430057,1,26.17156553903555,20,0.037572548381565624,False,False,False,False,False,False,False
N33,mlp_neuron,37,1.0,12769,0,0.0,8.95849465692431e-05,8.090673377026033e-06,2.0363669697188083e-06,1.6039772033691406,35363.12877040673,346.0240447092976,0.009784882071827995,1,38.99512518746444,56,0.055215221609234,False,False,False,False,False,False,False
N34,mlp_neuron,38,1.0,12769,0,0.0,8.592505134201174e-05,3.0444908825593184e-05,7.559599301854393e-06,2.874159812927246,242671.22241361492,6304.619805160467,0.02598008837823677,1,78.39287465703326,3,0.0912080778577855,False,False,False,False,False,False,False
N35,mlp_neuron,39,1.0,12769,0,0.0,-9.128000527457375e-06,3.423718249829641e-06,8.484013411586237e-07,0.9837608337402344,5741.980147637629,4.785083621725191,0.0008333507777267176,1,7.8434840429433725,48,0.01875538978587603,False,False,False,False,False,False,False
N36,mlp_neuron,40,1.0,12769,0,0.0,0.0001816363620293774,8.097930090157434e-05,2.251938260806168e-05,5.083259582519531,805908.2191849825,25159.447252022186,0.03121875004261157,1,83.63764591443342,17,0.11068748261066637,False,False,False,False,False,False,False
N37,mlp_neuron,41,1.0,12769,0,0.0,1.4074269439344521e-05,1.4641479081025611e-05,3.820861933989295e-06,3.540191650390625,179025.7867421211,4452.826681849336,0.024872543575319907,1,70.6342487324959,48,0.10067601413754208,False,False,False,False,False,False,False
N38,mlp_neuron,42,1.0,12769,0,0.0,4.4378894691493066e-05,3.404972980762165e-05,9.63764294561194e-06,6.3671722412109375,716342.669202512,20388.71987753379,0.028462244054555743,1,88.49498048793163,3,0.09915846343354903,False,False,False,False,False,False,False
N39,mlp_neuron,43,1.0,12769,0,0.0,1.7848641004232545e-05,3.00669233983854e-05,8.80628398469053e-06,3.7621994018554688,312994.83078065515,10394.705865774944,0.03321047136736737,1,83.72601013709695,3,0.11576340035261216,False,False,False,False,False,False,False
N40,mlp_neuron,44,1.0,12769,0,0.0,-2.6038555850962193e-05,4.775816312390046e-06,1.1889575496005123e-06,1.3817787170410156,19068.053554897167,29.07360736173449,0.0015247286398704096,1,14.58328942595222,17,0.022934529350241244,False,False,False,False,False,False,False
N41,mlp_neuron,45,1.0,12769,0,0.0,-2.7725329540072025e-05,7.770503930485458e-06,1.968655022081536e-06,1.139338493347168,21604.555628588198,218.65334112332928,0.01012070532170523,1,42.195335147879575,20,0.055786812689554884,False,False,False,False,False,False,False
N42,mlp_neuron,46,1.0,12769,0,0.0,-3.542398155229856e-05,5.642831954245243e-06,1.4410940523060214e-06,2.9968338012695312,58685.58906335458,252.70827856702212,0.004306138569968319,1,24.936271070038533,17,0.03167073091727614,False,True,True,False,False,False,False
N43,mlp_neuron,47,0.9999216853316626,12768,1,-7.831466833740919e-05,0.00024629955772822293,0.00017326188139749556,5.016135735029153e-05,7.272438049316406,1874390.5825505229,57538.730571571585,0.030697300289077113,1,86.57983759985561,56,0.10871801167529112,False,False,False,False,False,False,False
N44,mlp_neuron,48,1.0,12769,0,0.0,-7.928171505256322e-06,3.951724922206582e-06,9.8800106064898e-07,3.4830322265625,61248.77463566078,114.20680937892793,0.0018646382733089565,1,11.953823753936314,17,0.028344362732908444,False,False,False,False,False,False,False
N45,mlp_neuron,49,1.0,12769,0,0.0,3.66810782217843e-05,7.766740999130309e-06,1.848629696622553e-06,1.5187397003173828,69285.50798555052,1888.4020851430146,0.027255368980434416,1,72.4502095113116,1,0.10383851931748071,False,False,False,False,False,False,False
N46,mlp_neuron,50,1.0,12769,0,0.0,2.1832464146262064e-05,1.5787204066726302e-05,4.216049045872475e-06,2.822040557861328,121345.1899833415,3309.6235693041103,0.027274452079711294,1,77.47798035106199,3,0.09937547280259973,False,False,False,False,False,False,False
N47,mlp_neuron,51,1.0,12769,0,0.0,5.1615423872521365e-06,2.463869188426782e-06,6.232953916560742e-07,1.4652175903320312,15669.686248409296,51.8466627969455,0.003308723734159559,1,20.53268853011896,17,0.034266419556020535,False,True,False,False,False,False,False
N48,mlp_neuron,52,1.0,12769,0,0.0,-2.563421036795902e-05,1.3873804394993347e-06,3.56505378874894e-07,1.17132568359375,8103.264542665267,7.127580327219207,0.0008795936859386865,1,7.805558575475523,48,0.019307306227858197,False,False,False,False,False,False,False
N49,mlp_neuron,53,1.0,12769,0,0.0,-1.2751843071522398e-06,6.796086359638733e-06,1.7222272488043551e-06,3.446474075317383,180357.3539270472,4751.097561244751,0.026342688322908772,1,76.20286374595739,17,0.09989112910073357,False,True,True,True,True,True,False
N50,mlp_neuron,54,1.0,12769,0,0.0,9.050451335113193e-06,3.1486299818810015e-06,7.945203707072276e-07,1.3032455444335938,22930.566917717028,43.150228439295134,0.001881777654871482,1,14.63696726357533,3,0.024542757406657054,False,False,False,False,False,False,False
N51,mlp_neuron,55,1.0,12769,0,0.0,3.2996255406298304e-05,3.5300989414092835e-05,9.106478609059886e-06,4.817413330078125,913977.2965256432,28848.426056701122,0.031563613413992206,1,86.60430867443317,56,0.11023812313739541,False,True,True,True,True,True,True
N52,mlp_neuron,56,1.0,12769,0,0.0,0.0002790440551306923,0.00012887027003805879,3.21622956198163e-05,5.114479064941406,805873.9668512001,23076.900817641595,0.028635868345282596,1,78.6214492769827,1,0.1040552750326445,False,False,False,False,False,False,False
N53,mlp_neuron,57,1.0,12769,0,0.0,2.9608558940371612e-05,8.0120784484267e-06,2.0659627750297304e-06,1.9134864807128906,83927.34794453398,1677.1676255369043,0.019983565150245342,1,54.039447663471854,1,0.09227554486592861,False,False,False,False,False,False,False
N54,mlp_neuron,58,0.9999216853316626,12768,1,7.831466833740919e-05,-1.3236268689090962e-05,1.0020821947467685e-05,2.4749580227086015e-06,2.5742568969726562,54868.940247965395,367.2576299796312,0.006693361095000364,1,38.41876556535008,56,0.03984284169445104,False,False,False,False,False,False,False
N55,mlp_neuron,59,1.0,12769,0,0.0,-2.922523405799078e-05,2.3700004856431734e-06,5.938364247567909e-07,2.2308731079101562,39267.436042102854,208.8436941879457,0.005318495813274435,1,24.67322145372216,3,0.04321728958615444,False,False,False,False,False,False,False
N56,mlp_neuron,60,1.0,12769,0,0.0,0.0001402330714282455,3.287210439504722e-05,8.59266476541227e-06,3.8985214233398438,142794.61648099843,1857.3078437366125,0.01300684780356382,1,39.78027333314574,56,0.07823850159694387,False,False,False,False,False,False,False
N57,mlp_neuron,61,1.0,12769,0,0.0,2.5577825211979197e-05,9.755090726432903e-07,2.424732332167429e-07,0.8487396240234375,4221.977021025242,7.9425810077521115,0.0018812468585684956,1,17.941354757667604,48,0.021680360151273163,False,False,False,False,False,False,False
N58,mlp_neuron,62,1.0,12769,0,0.0,2.4225376255666495e-07,1.157006715112303e-05,2.906736263227617e-06,2.1501312255859375,86383.0473088759,2211.2718994245824,0.025598447476827702,1,86.03332469720225,3,0.09683298280711243,False,False,False,False,False,False,False
N59,mlp_neuron,63,1.0,12769,0,0.0,1.817539292132378e-05,0.00014370074142338473,4.154652721674708e-05,6.487027645111084,795394.9371344686,24422.323778646256,0.03070465078220311,1,64.42528021589979,1,0.11963130387509198,False,True,True,True,True,False,False
N60,mlp_neuron,64,0.9990602239799514,12757,12,-0.0009397760200485772,0.002398114120582214,0.0023521933592172417,0.0006631176388975273,11.642261505126953,4688346.2269391455,190265.1208647497,0.04058256614485723,1,95.99086782223392,17,0.1316051422664331,False,True,True,True,True,True,False
N61,mlp_neuron,65,1.0,12769,0,0.0,6.347604967810237e-05,1.3545696071256107e-05,3.3918628128609945e-06,2.82415771484375,204012.98518664992,6269.014411595989,0.030728506844113455,1,88.0520299517409,17,0.10782278350416996,False,False,False,False,False,False,False
N62,mlp_neuron,66,1.0,12769,0,0.0,1.2879739975988182e-05,6.97780883973399e-06,1.8794999465290805e-06,3.6639785766601562,192576.8701238045,5346.013833636605,0.02776041499791611,1,82.49751336925975,3,0.09927683990472862,False,False,False,False,False,False,False
N63,mlp_neuron,67,1.0,12769,0,0.0,-1.8653449523074565e-05,1.633235095112996e-05,4.120852589576576e-06,3.9997406005859375,84324.45959007868,168.60711262840874,0.0019995042179700665,1,15.39801406678573,20,0.023360080482039185,False,False,False,False,False,False,False
N64,mlp_neuron,68,0.9997650559949879,12766,3,-0.00023494400501211654,0.0006724348765093965,0.0006704200353623935,0.00019689345331189303,14.692131042480469,4558987.773143516,139650.11382680034,0.030631824601387057,1,74.2833766291354,56,0.11411255594190364,False,True,True,True,True,True,True
N65,mlp_neuron,69,1.0,12769,0,0.0,2.402653533229793e-06,1.4355011689030913e-06,3.599680723271942e-07,0.9472885131835938,9841.512323200479,24.699275558326395,0.0025097032597419075,1,17.970285222793997,3,0.03275696637150557,False,False,False,False,False,False,False
N66,mlp_neuron,70,1.0,12769,0,0.0,2.504592192600517e-05,2.129766923492041e-05,5.673900219557923e-06,3.9070510864257812,281810.7037536114,8627.919139361313,0.030616009344005428,1,81.7940429404615,17,0.10892659288848079,False,False,False,False,False,False,False
N67,mlp_neuron,71,1.0,12769,0,0.0,-1.736406120382561e-07,4.158518601277461e-06,1.0450121550007533e-06,1.4226531982421875,25298.425464803517,424.8870253160237,0.016794998799713783,1,53.816373508743496,17,0.0819549195382619,False,False,False,False,False,False,False
N68,mlp_neuron,72,1.0,12769,0,0.0,-8.363557801517596e-06,4.195621812546477e-06,1.0533462498210761e-06,1.4444656372070312,9477.91782632652,7.133805031860483,0.0007526763960798576,1,10.301870939563763,5,0.01323243874114667,False,False,False,False,False,False,False
N69,mlp_neuron,73,0.9995301119899758,12763,6,-0.0004698880100242331,0.0011599725290315792,0.0010426681859173107,0.0003047111524311445,10.568916320800781,3563986.241600513,138546.9088494353,0.03887414245101483,1,95.96911205577993,17,0.1299604815258589,False,True,True,True,True,True,True
N70,mlp_neuron,74,1.0,12769,0,0.0,0.00020669511546478705,0.0001105326650715022,3.486138911063053e-05,4.591835021972656,853116.6181616045,26300.462523404407,0.0308286838674878,1,85.05055180413689,3,0.10887286019696521,False,True,True,True,True,True,True
N71,mlp_neuron,75,1.0,12769,0,0.0,1.709811841620252e-05,1.842587783013609e-05,5.319724330355537e-06,4.410026550292969,419602.33988981904,13610.85268037687,0.03243750424259041,1,89.43809000851563,3,0.1092340538004594,False,True,True,True,True,True,True
N72,mlp_neuron,76,1.0,12769,0,0.0,-1.2042949190344248e-05,1.828642537537685e-05,4.798441865098602e-06,3.0763607025146484,288935.57246608956,9248.534208663435,0.03200898432036738,1,90.90277531410085,3,0.10786594802384848,False,True,True,True,True,True,True
N73,mlp_neuron,77,1.0,12769,0,0.0,-1.3770842321033858e-06,2.723217662617237e-06,6.589813057390426e-07,1.453033447265625,14745.902926893294,24.505390447836607,0.0016618440097787533,1,15.556984912593702,1,0.02072768568491465,False,False,False,False,False,False,False
N74,mlp_neuron,78,0.9999216853316626,12768,1,-7.831466833740919e-05,0.00010728308265290092,0.00012719908761805445,3.4419502901012395e-05,2.410409927368164,131824.43580150427,2854.82042807684,0.0216562309614244,1,54.93145954754641,20,0.09349296510237338,False,False,False,False,False,False,False
N75,mlp_neuron,79,1.0,12769,0,0.0,0.0004550571273859319,0.0002725720334985721,7.855190946561073e-05,8.826766967773438,1569733.258230979,37848.80310031712,0.024111614442679945,1,55.163993023010825,48,0.10776925915431618,False,False,False,False,False,False,False
N76,mlp_neuron,80,1.0,12769,0,0.0,-3.752928075734848e-07,1.7464092995202323e-06,4.333217421238625e-07,0.637420654296875,4922.2985734214635,15.222662661881268,0.003092592299068944,1,19.637515705843764,48,0.03411638152917952,False,False,False,False,False,False,False
N77,mlp_neuron,81,1.0,12769,0,0.0,2.0558341132471177e-05,3.8790605888098165e-06,9.835624908405935e-07,1.7413406372070312,21487.62857370143,74.55508013300167,0.0034696746491722752,1,17.30347501180231,48,0.03601122391915323,False,False,False,False,False,False,False
N78,mlp_neuron,82,1.0,12769,0,0.0,1.9820702851624595e-05,6.93014761877312e-06,1.6876746641117602e-06,1.4018745422363281,22688.94016803354,88.71006889316018,0.003909837490697069,1,29.9740147454734,20,0.026275217642402794,False,False,False,False,False,False,False
N79,mlp_neuron,83,1.0,12769,0,0.0,8.841086421221842e-06,1.151698117107731e-06,2.909547456341658e-07,1.1484603881835938,24490.116711627586,562.4984333247954,0.022968385163216823,1,73.31565315443106,3,0.08670661194735899,False,True,True,True,True,True,True
N80,mlp_neuron,84,1.0,12769,0,0.0,-8.786804966002268e-06,4.326232317390726e-07,1.0948176915177258e-07,0.661827564239502,2034.7841677862093,3.6662680077272323,0.0018017969992935583,1,18.471866259650476,5,0.018924754408193547,False,False,False,False,False,False,False
N81,mlp_neuron,85,0.9999216853316626,12768,1,7.831466833740919e-05,5.245789022534364e-05,5.9380016068719865e-05,1.5546067003724363e-05,4.211208343505859,287805.03743507265,4699.347942303745,0.016328233807804335,1,33.662227206235656,48,0.1016830221390504,False,False,False,False,False,False,False
N82,mlp_neuron,86,1.0,12769,0,0.0,-2.0559146805339658e-05,8.742391077710031e-06,2.190261244876053e-06,1.6264774799346924,15585.875115557803,30.57453829414041,0.0019616824892701046,1,17.736217433799006,17,0.02327787704152498,False,False,False,False,False,False,False
N83,mlp_neuron,87,0.9998433706633253,12767,2,0.0,0.001073028933032439,0.0007685320754591752,0.00023872258261107074,12.85238265991211,3463369.04673489,93921.05388090751,0.027118407716166457,1,68.53120964413733,48,0.10793481836122722,False,True,True,True,True,True,True
N84,mlp_neuron,88,1.0,12769,0,0.0,2.0236847985563794e-05,2.083231711772395e-05,5.449705754516687e-06,4.800933837890625,285540.84680322837,7518.424930267408,0.026330470804579835,1,69.01852333649612,17,0.09945396864801102,False,False,False,False,False,False,False
N85,mlp_neuron,89,1.0,12769,0,0.0,1.752435190684816e-05,2.2269195056836958e-05,5.643444865369428e-06,3.0606155395507812,278542.67360330315,9286.682716034877,0.03334025122937123,1,88.06943692264333,17,0.11132384089030804,False,False,False,False,False,False,False
N86,mlp_neuron,90,1.0,12769,0,0.0,9.277328844394298e-05,2.0399462964191952e-05,5.165004937392025e-06,3.6407852172851562,219745.00242346694,4934.074952435444,0.022453638981636864,1,75.41713319253421,3,0.08321816377596006,False,False,False,False,False,False,False
N87,mlp_neuron,91,0.9998433706633253,12767,2,-0.00015662933667470735,0.0003638816740621808,0.0003174493629801128,8.711929300273909e-05,9.943233489990234,3218637.6603270127,105604.38943924759,0.032810275832203556,1,82.39628534444321,56,0.11643449151291178,False,True,True,True,True,True,True
N88,mlp_neuron,92,1.0,12769,0,0.0,-3.026478334656915e-05,7.053562873310133e-06,1.7922042738736953e-06,1.3232002258300781,27790.584660929424,207.6543381707718,0.007472111173778632,1,43.99547941243584,3,0.03764893109339086,False,False,False,False,False,False,False
N89,mlp_neuron,93,1.0,12769,0,0.0,4.409988635899393e-05,1.662221839769676e-05,4.3365485454272054e-06,1.9008731842041016,51856.40012692395,823.2225745294627,0.015875042859021055,1,61.40871044908162,20,0.07051662485514404,False,False,False,False,False,False,False
N90,mlp_neuron,94,0.9999216853316626,12768,1,7.831466833740919e-05,0.00014761952013507616,0.0001411819255730943,3.86433716011414e-05,4.519691467285156,907812.155714409,26875.585616591008,0.029604787121892066,1,94.30733722157049,3,0.109287734175714,False,True,True,True,True,True,True
N91,mlp_neuron,95,1.0,12769,0,0.0,0.0001050855799400801,4.80321470196382e-05,1.3111826939412163e-05,3.6994590759277344,341730.4299613079,10697.120241768846,0.03130280274712444,1,80.48824666053373,17,0.11072997398459027,False,False,False,False,False,False,False
N92,mlp_neuron,96,1.0,12769,0,0.0,-5.520707765266711e-06,2.68480683080969e-06,6.808161798556525e-07,1.3934211730957031,28808.556680164565,319.7038649307026,0.011097531489691982,1,43.9950144144698,3,0.05877692427720576,False,False,False,False,False,False,False
N93,mlp_neuron,97,1.0,12769,0,0.0,-6.247349752743284e-06,5.719775107744677e-07,1.4103248828135582e-07,0.695556640625,1945.5388602141936,0.7844341950061262,0.0004031963642811864,1,6.1528914165448265,56,0.011912004410770862,False,False,False,False,False,False,False
N94,mlp_neuron,98,1.0,12769,0,0.0,2.0732980266259743e-05,6.824919982854056e-06,1.8082606018124452e-06,1.9089431762695312,39532.410479622115,190.2559432289557,0.004812657283497232,1,20.99807101101751,48,0.045578335685460034,False,False,False,False,False,False,False
N95,mlp_neuron,99,0.9999216853316626,12768,1,7.831466833740919e-05,0.0001397410829394334,6.876477725525932e-05,1.8687149880891223e-05,5.044094085693359,672348.0056710911,21281.078866161934,0.031651880702643916,1,82.53809345176549,48,0.1169952807096504,False,False,False,False,False,False,False
N96,mlp_neuron,100,0.9999216853316626,12768,1,0.0,9.295888793177712e-05,0.00011326357731529801,3.3106546190239566e-05,3.9569778442382812,385983.27199674817,10252.742060458564,0.026562659069186142,1,70.2405098251657,1,0.10328800786226654,False,True,True,True,True,False,False
N97,mlp_neuron,101,1.0,12769,0,0.0,1.3147374568543311e-05,6.142753974436179e-06,1.5618214667617666e-06,1.2644805908203125,21410.61366980287,134.13329559345829,0.006264803880079223,1,25.82542539591337,56,0.051998714350204395,False,False,False,False,False,False,False
N98,mlp_neuron,102,1.0,12769,0,0.0,7.709832581736685e-06,1.777521392445722e-06,4.45162927027159e-07,1.04052734375,5935.360546894677,22.232987784630794,0.0037458529450688344,1,19.6910802835827,17,0.04172228401691579,False,True,True,True,False,False,False
